bucket,domain,url,tranco_rank,predicted_model,model_confidence,predicted_industry,predicted_revenue,revenue_confidence,is_real_business,model_ok,true_model,industry_ok,true_industry,true_revenue,notes
bigco_ver_core,afa.org,https://afa.org,194960,Ecommerce,0.62,,$10M-$100M,0.74,y,n,Nonprofit,n,Defense/Advocacy,$10M-$100M,gv4 [VERIFIED revenue $10M-$100M (source wikidata)] | AI: Air & Space Forces Association: major U.S. nonprofit advocacy/education for military. Published magazine. Verified $10M-$100M.
bigco_ver_core,biblesociety.ca,https://biblesociety.ca,2089738,Ecommerce,0.72,,$1M-$10M,0.49,y,n,Nonprofit,n,Media/Publishing,$10M-$100M,"gv4 [VERIFIED revenue $10M-$100M (source wikidata); VERIFIED employees 51-500 (source wikidata)] | AI: Canadian Bible Society: registered charity, Bible distribution & education programs globally. Verified $10M-$100M, 51-500 employees."
bigco_ver_core,biraben.fr,https://biraben.fr,\N,Ecommerce,0.74,Fashion,$100M-$1B,0.67,y,y,,n,Food/Retail,,"gv4 [VERIFIED employees 51-500 (source sirene)] | AI: Maison Biraben: family delicatessen since 1946, foie gras & charcuterie. IGP Sud-Ouest certified. Verified 51-500 employees = $10M-$100M."
bigco_ver_core,georgjensen.com,https://georgjensen.com,32572,Ecommerce,0.51,,$10M-$100M,0.94,y,y,,y,,$10M-$100M,gv4 [VERIFIED revenue $10M-$100M (source wikidata); VERIFIED employees 501-5000 (source wikidata)] | AI: Luxury jewelry ecommerce brand. Global DTC platform with regional sites. Verified revenue $10M-$100M. Employees 501-5000.
bigco_ver_core,naturalbabyshower.co.uk,https://naturalbabyshower.co.uk,299051,Ecommerce,0.77,,$10M-$100M,0.61,y,y,,,,$10M-$100M,"gv4 [VERIFIED revenue $10M-$100M (source companies_house); VERIFIED employees 51-500 (source companies_house)] | AI: Multi-award winning online baby products retailer, 19+ years, 1.5M+ customers, Surrey store. Verified $10M-$100M revenue and 51-500 employees from Companies House. Ecommerce model correct."
bigco_ver_core,netapp.com,https://netapp.com,9903,SaaS,0.55,DevTools,$100M-$1B,0.97,y,y,,y,,$1B+,gv4 [VERIFIED revenue $1B+ (source wikidata); VERIFIED employees 5001+ (source wikidata)] | AI: NetApp major public technology company (storage/data management). Verified $1B+ revenue and 5001+ employees from Wikidata. SaaS model correct.
bigco_ver_core,oatly.com,https://oatly.com,119805,Ecommerce,0.55,,$10M-$100M,0.94,y,y,,,,,"gv4 [VERIFIED employees 501-5000 (source wikidata)] | AI: Oat beverage and plant-based foods company, established public company. Verified 501-5000 employees from Wikidata. Ecommerce/manufacturing model reasonable for consumer goods company."
bigco_ver_core,pizzagogo.co.uk,https://pizzagogo.co.uk,819890,Ecommerce,0.65,Food & Beverage,<$1M,0.52,y,y,,y,,,gv4 [VERIFIED employees 51-500 (source companies_house)] | AI: Ecommerce food delivery platform (online ordering for pizza delivery)
bigco_ver_core,tenderd.com,https://tenderd.com,\N,SaaS,0.73,AI & ML,$1M-$10M,0.92,y,y,,n,SaaS,,"gv4 [VERIFIED employees 51-500 (source yc)] | AI: Fleet management SaaS for GCC markets, YC-backed, 51-500 employees verified, major enterprise clients"
bigco_ver_other,airliquide.com,https://airliquide.com,13503,Agency,0.64,Healthcare,$10M-$100M,0.92,y,n,Manufacturer,n,Manufacturing,$1B+,"gv4 [VERIFIED revenue $1B+ (source wikidata); VERIFIED employees 5001+ (source wikidata)] | AI: Multinational industrial gas supplier (founded 1902): oxygen, nitrogen, hydrogen. 59 countries, ~65k employees. Verified $1B+."
bigco_ver_other,arkha.org.uk,https://arkha.org.uk,\N,Agency,0.6,,$100M-$1B,0.47,y,n,Nonprofit,,,$10M-$100M,gv4 [VERIFIED revenue $10M-$100M (source wikidata)] | AI: Ark Housing Association: Scottish registered charity for social housing & care (1977-). Verified $10M-$100M.
bigco_ver_other,berea.edu,https://berea.edu,126454,Education,0.58,Education,$1M-$10M,0.78,y,y,,y,,,"gv4 [VERIFIED employees 501-5000 (source wikidata)] | AI: Berea College: Kentucky liberal arts, tuition-free model for low-income students since 1800s. Verified 501-5000 employees."
bigco_ver_other,chezdoris.org,https://chezdoris.org,\N,Media,0.53,,$1M-$10M,0.75,y,n,Nonprofit,n,Nonprofit,$1M-$10M,"gv4 [VERIFIED revenue $1M-$10M (source wikidata); VERIFIED employees 51-500 (source wikidata)] | AI: Montreal social services nonprofit since 1977, supports vulnerable women, not media"
bigco_ver_other,computerhistory.org,https://computerhistory.org,14212,Directory,0.58,,$10M-$100M,0.99,y,n,Nonprofit,n,Education,$10M-$100M,"gv4 [VERIFIED revenue $10M-$100M (source wikidata)] | AI: Computer History Museum, 501c3 nonprofit in Mountain View with active exhibits"
