# DNS MX Record Signatures
# Format: pattern,score_type,points,comment
# Most specific patterns first

# Premium enterprise email (high budget)
google.com,budget,4,Google Workspace ($6-18/user/mo)
googlemail.com,budget,4,Google Workspace
aspmx.l.google.com,budget,4,Google Workspace MX
aspmx.googlemail.com,budget,4,Google Workspace MX
outlook.com,budget,4,Microsoft 365 ($6-57/user/mo)
protection.outlook.com,budget,4,Microsoft 365 Exchange
mail.protection.outlook.com,budget,4,M365 Exchange Protection
spf.protection.outlook.com,budget,4,M365 SPF Protection
ppe-hosted.com,budget,4,Proofpoint ($3-12/user/mo)
pphosted.com,budget,4,Proofpoint
dispatch-us.ppe-hosted.com,budget,4,Proofpoint US
spf-usg2.ppe-hosted.com,budget,4,Proofpoint USG2
spf-usg1.ppe-hosted.com,budget,4,Proofpoint USG1
spf.has.pphosted.com,budget,4,Proofpoint SPF
mimecast.com,budget,5,Mimecast ($3-9/user/mo)
messagelabs.com,budget,4,Symantec Email Security
barracuda.com,budget,3,Barracuda Email Security
barracudanetworks.com,budget,3,Barracuda Networks
ess.barracudanetworks.com,budget,3,Barracuda ESS
sophos.com,budget,3,Sophos Email
ironport.com,budget,4,Cisco IronPort
forcepoint.com,budget,3,Forcepoint Email
hornetsecurity.com,budget,3,Hornetsecurity

# Mid-tier email services
zoho.com,budget,2,Zoho Mail ($1-8/user/mo)
zohomail.com,budget,2,Zoho Mail
zohomail.eu,budget,2,Zoho Mail EU
zohomail.in,budget,2,Zoho Mail India
zohomail.com.cn,budget,2,Zoho Mail China
zohomail.com.au,budget,2,Zoho Mail Australia
zoho.in,budget,2,Zoho India
zoho.eu,budget,2,Zoho EU
zoho.com.au,budget,2,Zoho Australia
fastmail.com,budget,2,FastMail ($3-9/user/mo)
messagingengine.com,budget,2,FastMail
rackspace.com,budget,2,Rackspace Email
emailsrvr.com,budget,2,Rackspace Email
gandi.net,budget,1,Gandi email hosting
mailgun.org,budget,1,Mailgun
sendgrid.net,budget,1,SendGrid
mailchimp.com,budget,1,Mailchimp
servers.mcsv.net,budget,1,Mailchimp servers
titan.email,budget,2,Titan Mail
privateemail.com,budget,1,PrivateEmail (Namecheap)
improvmx.com,budget,0,ImprovMX (free forwarding)
migadu.com,budget,1,Migadu
purelymail.com,budget,1,PurelyMail
forward-email,budget,0,ForwardEmail (free)

# Chinese/Asian providers
mail.qq.com,budget,1,Tencent QQ Mail
mxhichina.com,budget,1,Alibaba Cloud Mail
qiye.aliyun.com,budget,1,Alibaba Enterprise
163.com,budget,1,NetEase Mail
mail.ru,budget,1,Mail.ru (Russian)
yandex.net,budget,1,Yandex Mail (Russian)
nicmail.ru,budget,1,NIC Mail (Russian)
zmail300.cn,budget,1,Zmail China
feishu.cn,budget,1,Lark/Feishu (ByteDance)
hiworks.co.kr,budget,1,Hiworks Korea
muumuu-mail.com,budget,1,Muumuu Mail Japan
onamae.ne.jp,budget,1,Onamae Japan
fsi.ne.jp,budget,1,FSI Japan
conoha.ne.jp,budget,1,ConoHa Japan
lolipop.jp,budget,1,Lolipop Japan
makeshop.jp,budget,1,MakeShop Japan
etius.jp,budget,1,Etius Japan
kagoya.net,budget,1,Kagoya Japan

# Hosting provider email (low-mid budget)
secureserver.net,budget,0,GoDaddy email
websitewelcome.com,budget,-1,GoDaddy parking
web-hosting.com,budget,0,Generic hosting email
efwd.registrar-servers.com,budget,0,Generic registrar forwarding
mx.cloudflare.net,budget,1,Cloudflare Email Routing
hosting.reg.ru,budget,0,Reg.ru hosting
hostedemail.com,budget,0,Generic hosted email
mailhostbox.com,budget,0,Generic mailbox hosting
hostinger.com,budget,0,Hostinger email
mail.hostinger.com,budget,0,Hostinger mail
bluehost.com,budget,0,Bluehost email
greengeeks.net,budget,0,GreenGeeks email
dreamhost.com,budget,0,DreamHost email
netblocks.dreamhost.com,budget,0,DreamHost
ovh.com,budget,0,OVH email
mx.ovh.com,budget,0,OVH MX
a2hosting.com,budget,0,A2 Hosting
ionos.com,budget,0,IONOS (1&1)
spf-eu.ionos.com,budget,0,IONOS EU
spf-us.ionos.com,budget,0,IONOS US
hostmar.com,budget,0,HostMar
mijndomeinhosting.nl,budget,0,Dutch hosting
infomaniak.ch,budget,0,Infomaniak Swiss
transip.email,budget,0,TransIP Dutch
aruba.it,budget,0,Aruba IT
timeweb.ru,budget,0,TimeWeb Russia
jino.ru,budget,0,Jino Russia
hoster.by,budget,0,Hoster Belarus
beget.com,budget,0,Beget Russia
beget.ru,budget,0,Beget Russia
locaweb.com.br,budget,0,Locaweb Brazil
