# BGP ASN Organization Signatures
# Format: pattern,score_type,points,comment
# Most specific patterns first

# Premium cloud providers (high budget)
Amazon,budget,5,AWS ($50-10000+/mo)
AWS,budget,5,Amazon Web Services
AMAZON-,budget,5,Amazon prefix
Amazon.com,budget,5,Amazon infrastructure
Google Cloud,budget,5,GCP ($50-10000+/mo)
Google LLC,budget,5,Google infrastructure
GOOGLE,budget,5,Google services
Microsoft Corporation,budget,5,Azure ($50-10000+/mo)
MICROSOFT-CORP,budget,5,Microsoft Azure
Azure,budget,5,Microsoft Azure
Oracle,budget,4,Oracle Cloud ($50-5000/mo)
IBM,budget,4,IBM Cloud
Alibaba,budget,4,Alibaba Cloud
Tencent,budget,4,Tencent Cloud

# Premium CDN (high budget + web sophistication)
Akamai,budget,5,Akamai CDN ($1000-100000/mo)
Akamai,web,4,Akamai (enterprise CDN)
Fastly,budget,4,Fastly CDN ($50-5000/mo)
Fastly,web,4,Fastly (modern CDN)
Cloudflare,budget,3,Cloudflare ($0-5000/mo)
Cloudflare,web,3,Cloudflare CDN
CloudFront,budget,3,AWS CloudFront
CloudFront,web,3,AWS CDN

# Developer-friendly cloud (startup signal)
DigitalOcean,budget,2,DigitalOcean ($5-500/mo)
DigitalOcean,web,3,DO (dev-friendly)
Vultr,budget,2,Vultr ($2.50-320/mo)
Vultr,web,3,Vultr (dev-friendly)
Linode,budget,2,Linode ($5-480/mo)
Linode,web,3,Linode (dev-friendly)
Hetzner,budget,1,Hetzner ($5-200/mo cheap EU)
Hetzner,web,2,Hetzner (developer choice)

# Mid-tier hosting
OVH,budget,1,OVH ($5-200/mo)
OVH,web,1,OVH hosting
Rackspace,budget,2,Rackspace
Rackspace,web,2,Rackspace managed
HostGator,budget,0,HostGator (budget)
Bluehost,budget,0,Bluehost (budget)
GoDaddy,budget,0,GoDaddy (cheap)
Hostinger,budget,-1,Hostinger ($1-10/mo cheap)
Namecheap,budget,0,Namecheap hosting

# Enterprise hosting
Equinix,budget,5,Equinix (enterprise colo)
Lumen,budget,4,Lumen/Level3 (enterprise)
Zayo,budget,4,Zayo (enterprise fiber)
Cogent,budget,3,Cogent (enterprise)

# Specialized/modern platforms
Vercel,budget,2,Vercel ($20-2500/mo)
Vercel,web,3,Vercel (modern platform)
Netlify,budget,2,Netlify ($19-1250/mo)
Netlify,web,3,Netlify (JAMstack)
Heroku,budget,2,Heroku ($7-500/mo)
Heroku,web,2,Heroku (developer platform)
Railway,budget,1,Railway ($5-500/mo)
Railway,web,2,Railway (modern)
Render,budget,2,Render ($7-500/mo)
Render,web,2,Render (modern)
Fly.io,budget,2,Fly.io ($0-500/mo)
Fly.io,web,3,Fly.io (edge computing)

# Security-focused providers
Imperva,security,5,Imperva WAF
Sucuri,security,3,Sucuri security
Cloudflare,security,3,Cloudflare security

# Budget/shared hosting (negative signal)
Hostinger,budget,-1,Hostinger (very cheap)
000webhost,budget,-2,000webhost (free/cheap)
InfinityFree,budget,-2,InfinityFree (free)
Freehostia,budget,-2,Freehostia (free)
