# Subdomain Pattern Signatures
# Format: pattern,score_type,points,comment
# These patterns indicate technical sophistication

# Development/staging environments (DevOps maturity)
staging,web,2,Staging environment
stage,web,2,Stage environment
dev,web,2,Development environment
test,web,1,Test environment
qa,web,2,QA environment
uat,web,2,User acceptance testing
demo,web,1,Demo environment
sandbox,web,2,Sandbox environment
preview,web,2,Preview environment

# Regional/multi-region (enterprise scale)
us,web,2,US region
eu,web,2,EU region
asia,web,2,Asia region
apac,web,2,APAC region
emea,web,2,EMEA region
us-east,web,3,AWS-style region
us-west,web,3,AWS-style region
eu-west,web,3,EU region
ap-southeast,web,3,APAC region

# API infrastructure (technical product)
api,web,3,API endpoint
api,budget,2,Has API (technical company)
rest,web,2,REST API
graphql,web,3,GraphQL API
v1,web,2,API versioning
v2,web,2,API version 2
v3,web,3,API version 3+
ws,web,2,WebSocket
realtime,web,3,Real-time infrastructure

# Internal tools (mature organization)
admin,web,2,Admin panel
dashboard,web,2,Dashboard
portal,web,2,Portal
internal,web,2,Internal tools
crm,web,2,CRM system
erp,web,3,ERP system

# CDN/static assets (optimization)
cdn,web,2,CDN setup
static,web,2,Static assets
assets,web,2,Asset hosting
media,web,1,Media hosting
images,web,1,Image hosting
img,web,1,Image subdomain
files,web,1,File hosting

# Authentication/security (mature security)
auth,web,2,Authentication service
auth,security,2,Auth infrastructure
sso,web,3,Single sign-on
sso,security,3,SSO (enterprise)
login,web,1,Login subdomain
oauth,web,3,OAuth provider
oauth,security,2,OAuth security
saml,web,3,SAML federation
saml,security,3,SAML enterprise SSO
idp,security,3,Identity provider

# Email infrastructure
mail,email,2,Mail server
smtp,email,2,SMTP server
imap,email,2,IMAP server
webmail,email,2,Webmail interface
mx,email,2,Mail exchanger
mx1,email,2,Primary MX
mx2,email,2,Backup MX

# Monitoring/observability (mature ops)
monitoring,web,3,Monitoring system
metrics,web,3,Metrics collection
logs,web,2,Log aggregation
status,web,2,Status page
health,web,2,Health checks
grafana,web,3,Grafana dashboards
kibana,web,3,Kibana logging
prometheus,web,3,Prometheus monitoring

# CI/CD (DevOps maturity)
ci,web,3,CI pipeline
jenkins,web,2,Jenkins CI
gitlab,web,2,GitLab
github,web,2,GitHub integration
build,web,2,Build server
deploy,web,2,Deployment system

# Cloud-native patterns
k8s,web,4,Kubernetes
kubernetes,web,4,Kubernetes cluster
docker,web,3,Docker infrastructure
consul,web,3,Consul service mesh
vault,web,3,HashiCorp Vault

# Database access (technical infrastructure)
db,web,2,Database access
database,web,2,Database server
sql,web,2,SQL database
postgres,web,2,PostgreSQL
mysql,web,2,MySQL
mongo,web,2,MongoDB
redis,web,2,Redis cache
cache,web,2,Caching layer

# Customer-facing (product complexity)
app,web,1,Application
console,web,2,Console/dashboard
account,web,1,Account management
my,web,1,User-specific (my.example.com)
secure,web,1,Secure portal
secure,security,1,Security focus
shop,web,0,E-commerce
store,web,0,Online store
www,web,0,Standard (no bonus)

# Budget signals
enterprise,budget,3,Enterprise tier
premium,budget,2,Premium features
pro,budget,1,Pro tier
business,budget,2,Business tier
api,budget,2,API access (technical product)
