# DNS TXT Record Signatures
# Format: pattern,score_type,points,comment
# Score types: web, budget, security, email
# Load order: Most specific patterns first

# === ENTERPRISE SAAS (High Budget) ===

# Atlassian Suite ($10-100/user/mo)
atlassian,budget,5,Atlassian Suite
atlassian-domain-verification,budget,5,Atlassian verified
atlassian-sending-domain-verification,budget,5,Atlassian email
jira-site-verification,budget,5,Jira Cloud
confluence-site-verification,budget,5,Confluence
bitbucket-site-verification,budget,4,Bitbucket

# Document/Signature platforms
docusign,budget,5,DocuSign ($10-40/user/mo)
docusign=,budget,5,DocuSign verification
adobe-idp,budget,5,Adobe Enterprise SSO
adobe-idp-site-verification,budget,5,Adobe Enterprise verified
adobesign,budget,4,Adobe Sign
adobe-sign-verification,budget,4,Adobe Sign verified

# Design/Collaboration
figma-domain-verification,budget,4,Figma ($12-45/user/mo)
figma,budget,4,Figma
miro-verification,budget,4,Miro ($8-16/user/mo)
miro,budget,4,Miro
canva-site-verification,budget,3,Canva Business
canva,budget,3,Canva
canva-domain-verify,budget,3,Canva domain
notion-domain-verification,budget,2,Notion workspace
notion,budget,2,Notion
airtable-verification,budget,3,Airtable ($10-20/user/mo)
airtable,budget,3,Airtable
smartsheet-site-validation,budget,3,Smartsheet

# Project Management
monday-com-verification,budget,3,Monday.com
monday,budget,3,Monday.com
asana-verification,budget,3,Asana
asana,budget,3,Asana
wrike-verification,budget,3,Wrike
wrike,budget,3,Wrike

# CRM/Sales
salesforce,budget,5,Salesforce CRM
salesforce.com,budget,5,Salesforce
pardot,budget,5,Salesforce Pardot
pardot874711,budget,5,Pardot verification
hubspot,budget,4,HubSpot ($45-3600/mo)
hubspot-developer-verification,budget,4,HubSpot verified
zoho,budget,2,Zoho CRM
pipedrive,budget,3,Pipedrive
upsales-customer-domain-verification,budget,3,Upsales

# Communication platforms
slack-verification,budget,4,Slack ($7.25-12.50/user/mo)
slack,budget,4,Slack
zoom,budget,3,Zoom ($15-30/user/mo)
zoom-domain-verification,budget,3,Zoom verified
ZOOM_verify,budget,3,Zoom verification
webex,budget,3,Webex
webexdomainverification,budget,3,Webex verification
teamviewer-sso-verification,budget,3,TeamViewer
logmein-verification-code,budget,3,LogMeIn
pexip-ms-tenant-domain-verification,budget,3,Pexip

# Analytics/Data
segment-verification,budget,4,Segment CDP
segment,budget,4,Segment
mixpanel,budget,4,Mixpanel Analytics
mixpanel-domain-verify,budget,4,Mixpanel verified
amplitude,budget,4,Amplitude Analytics
amplitude,budget,4,Amplitude
heap,budget,3,Heap Analytics
fullstory,budget,3,FullStory
pendo-domain-verification,budget,3,Pendo

# Customer support
zendesk-verification,budget,4,Zendesk ($19-99/user/mo)
zendesk,budget,4,Zendesk
freshdesk,budget,3,Freshdesk
freshdesk,budget,3,Freshdesk
intercom-verification,budget,4,Intercom
intercom,budget,4,Intercom
intercom-domain-validation,budget,4,Intercom validated
drift-verification,budget,4,Drift Chat
drift,budget,4,Drift

# === SSO/IDENTITY (High Security + Budget) ===

# Enterprise SSO
okta-domain-verification,budget,5,Okta SSO ($2-15/user/mo)
okta,budget,5,Okta
okta,security,4,Okta SSO (security signal)
auth0-domain-verification,budget,4,Auth0
auth0,budget,4,Auth0
auth0,security,3,Auth0 SSO
onelogin,budget,4,OneLogin SSO
onelogin,security,3,OneLogin SSO
duo-verification,security,4,Duo 2FA
duo_sso_verification,security,4,Duo SSO 2FA
jumpcloud,budget,3,JumpCloud
workos,budget,4,WorkOS
1password-site-verification,budget,3,1Password Business
1password,security,3,1Password (password manager)

# Device management
jamf-site-verification,budget,4,Jamf Apple MDM
jamf,budget,4,Jamf MDM
microsoft-intune,budget,4,Microsoft Intune MDM
cerner-client-id,budget,4,Cerner Healthcare

# === MARKETING & ADVERTISING ===

# Social media advertising
facebook-domain-verification,budget,3,Facebook ads verified
facebook-business-domain,budget,3,Facebook Business
fb-domain-verification,budget,3,Facebook verification
pinterest-site-verification,budget,2,Pinterest ads
pinterest,budget,2,Pinterest
tiktok-site-verification,budget,3,TikTok ads
tiktok-developers-site-verification,budget,3,TikTok developers
linkedin-site-verification,budget,3,LinkedIn ads
twitter,budget,2,Twitter/X

# Email marketing
klaviyo-site-verification,budget,3,Klaviyo ($20-1700/mo)
klaviyo,budget,3,Klaviyo
mailchimp-domain,budget,2,Mailchimp
mailchimp,budget,2,Mailchimp
brevo-code,budget,2,Brevo/Sendinblue
sendinblue,budget,2,Sendinblue
brevo,budget,2,Brevo
customerio,budget,3,Customer.io
postmark-domain-verification,budget,2,Postmark
sendgrid,budget,2,SendGrid
mailgun,budget,2,Mailgun
mailerlite-domain-verification,budget,2,MailerLite
mailerlite,budget,2,MailerLite
activecampaign,budget,2,ActiveCampaign
e2ma-verification,budget,2,Emma Email Marketing

# SEO/Marketing tools
ahrefs-site-verification,budget,3,Ahrefs SEO ($99-999/mo)
ahrefs,budget,3,Ahrefs
semrush-site-verification,budget,3,SEMrush ($119-449/mo)
semrush,budget,3,SEMrush
moz-verification,budget,2,Moz SEO
moz,budget,2,Moz

# === E-COMMERCE & PAYMENTS ===

# Payment processors
stripe-verification,budget,4,Stripe payments
stripe,budget,4,Stripe
stripe,security,2,Stripe (PCI compliant)
paddle-verification,budget,3,Paddle payments
paddle,budget,3,Paddle

# E-commerce platforms
shopify-domain-verification,budget,3,Shopify ($29-299/mo)
shopify-verification-code,budget,3,Shopify verified
shopify,budget,3,Shopify
paypal-domain-verification,budget,2,PayPal
paypal,budget,2,PayPal
square-domain-verification,budget,2,Square
square,budget,2,Square
braintree,budget,3,Braintree payments
adyen-verification,budget,4,Adyen (enterprise)
razorpay,budget,2,Razorpay India

# === EMAIL SECURITY & DELIVERABILITY ===

# DMARC policies (CRITICAL FOR EMAIL MATURITY)
v=DMARC1,email,5,DMARC present (professional)
v=DMARC1,security,3,DMARC (brand protection)
v=DMARC1,budget,2,DMARC (shows investment)
p=reject,email,10,DMARC reject (elite - only 15% of orgs)
p=reject,security,5,DMARC reject (stops phishing)
p=reject,budget,3,DMARC reject (enterprise maturity)
p=quarantine,email,5,DMARC quarantine (good practice)
p=quarantine,security,2,DMARC quarantine (partial protection)
p=none,email,1,DMARC none (monitoring only - weak)
p=none,security,-1,DMARC none (no enforcement)

# DKIM (Cryptographic email signing)
_domainkey,email,8,DKIM configured (strong deliverability)
_domainkey,security,3,DKIM (prevents tampering)
_domainkey,web,2,DKIM (technical sophistication)

# SPF records (Basic email authentication)
v=spf1,email,3,SPF record present
-all,email,5,SPF hard fail (strict - best practice)
